Ticker,Market,Close,Entry,Stop_Loss,Target,Setup_Type,Check_Zone,Signal_Status,Win_Rate
CL=F,Commodities,66.48,66.48,67.7,65.26,Short,True,🔥 Close,0% (0/2)
SPY,Unknown,689.43,689.43,704.82,674.04,Short,True,🔥 Close,72% (29/40)
MSFT,NASDAQ,397.23,397.23,387.51,406.95,Long,True,🔥 Close,40% (4/10)
MO,S&P 500,67.57,67.57,68.93,66.21,Short,True,🔥 Close,50% (4/8)
AMCR,S&P 500,50.49,50.49,51.09,49.89,Short,True,🚀 Active,36% (4/11)
ADI,NASDAQ,355.03,355.03,359.0,351.06,Short,True,🚀 Active,35% (5/14)
AMAT,NASDAQ,375.38,375.38,380.88,369.88,Short,True,🚀 Active,66% (4/6)
ATO,S&P 500,180.97,180.97,182.89,179.05,Short,True,🚀 Active,88% (16/18)
AVY,S&P 500,196.92,196.92,199.52,194.32,Short,True,🚀 Active,100% (10/10)
BKR,NASDAQ,62.21,62.21,63.38,61.04,Short,True,🔥 Close,53% (7/13)
BDX,S&P 500,185.39,185.39,187.35,183.42,Short,True,🚀 Active,70% (12/17)
BX,S&P 500,121.27,121.27,118.92,123.62,Long,True,🔥 Close,66% (2/3)
CBOE,S&P 500,288.68,288.68,291.57,285.79,Short,True,🚀 Active,58% (7/12)
CNP,S&P 500,43.0,43.0,43.63,42.37,Short,True,🚀 Active,52% (9/17)
CB,S&P 500,331.62,331.62,338.96,324.28,Short,True,🔥 Close,53% (14/26)
CHD,S&P 500,103.08,103.08,104.59,101.57,Short,True,🚀 Active,50% (3/6)
CTAS,NASDAQ,200.02,200.02,204.06,195.98,Short,True,🔥 Close,77% (7/9)
CME,S&P 500,308.09,308.09,312.44,303.74,Short,True,🚀 Active,14% (2/14)
KO,S&P 500,79.84,79.84,81.21,78.47,Short,True,🔥 Close,37% (9/24)
FIX,S&P 500,1462.23,1462.23,1491.71,1432.75,Short,True,🔥 Close,63% (7/11)
COO,S&P 500,84.07,84.07,85.89,82.25,Short,True,🔥 Close,50% (2/4)
GLW,S&P 500,139.51,139.51,141.67,137.35,Short,True,🔥 Close,0% (0/2)
CTVA,S&P 500,76.31,76.31,77.88,74.74,Short,True,🔥 Close,38% (7/18)
CSX,NASDAQ,42.31,42.31,42.77,41.85,Short,True,🚀 Active,44% (4/9)
DVA,S&P 500,150.73,150.73,154.29,147.17,Short,True,🔥 Close,30% (4/13)
FANG,NASDAQ,176.01,176.01,178.79,173.23,Short,True,🔥 Close,50% (4/8)
ECL,S&P 500,304.16,304.16,309.59,298.73,Short,True,🔥 Close,35% (6/17)
EIX,S&P 500,73.74,73.74,74.64,72.84,Short,True,🚀 Active,43% (10/23)
EQT,S&P 500,60.5,60.5,61.85,59.15,Short,True,🔥 Close,80% (4/5)
EXR,S&P 500,152.75,152.75,154.73,150.77,Short,True,🚀 Active,70% (7/10)
FRT,S&P 500,107.45,107.45,109.63,105.27,Short,True,🔥 Close,75% (15/20)
FDX,S&P 500,388.48,388.48,395.18,381.78,Short,True,🔥 Close,22% (5/22)
FE,S&P 500,50.2,50.2,50.94,49.46,Short,True,🚀 Active,88% (16/18)
GE,S&P 500,343.22,343.22,347.74,338.7,Short,True,🚀 Active,88% (8/9)
GEN,S&P 500,22.35,22.35,21.8,22.9,Long,True,🔥 Close,75% (6/8)
GPC,S&P 500,118.06,118.06,115.22,120.9,Long,True,🔥 Close,8% (1/12)
GPN,S&P 500,82.47,82.47,84.25,80.69,Short,True,🔥 Close,66% (4/6)
HOLX,S&P 500,75.43,75.43,76.22,74.64,Short,True,🚀 Active,14% (2/14)
HON,NASDAQ,243.97,243.97,248.09,239.85,Short,True,🔥 Close,41% (5/12)
HWM,S&P 500,258.1,258.1,261.42,254.78,Short,True,🚀 Active,66% (8/12)
HUBB,S&P 500,526.73,526.73,539.14,514.32,Short,True,🔥 Close,50% (3/6)
IBM,S&P 500,257.16,257.16,250.97,263.35,Long,True,🔥 Close,50% (2/4)
INTU,NASDAQ,380.55,380.55,371.65,389.45,Long,True,🔥 Close,33% (1/3)
INVH,S&P 500,25.3,25.3,24.97,25.63,Long,True,🚀 Active,60% (3/5)
IRM,S&P 500,110.29,110.29,112.75,107.83,Short,True,🔥 Close,50% (4/8)
JCI,S&P 500,143.79,143.79,146.79,140.79,Short,True,🔥 Close,66% (8/12)
KVUE,S&P 500,18.72,18.72,19.16,18.28,Short,True,🔥 Close,63% (7/11)
KIM,S&P 500,23.17,23.17,23.45,22.89,Short,True,🚀 Active,62% (10/16)
KMI,S&P 500,32.73,32.73,33.1,32.36,Short,True,🚀 Active,35% (5/14)
LIN,NASDAQ,496.51,496.51,503.33,489.69,Short,True,🚀 Active,30% (8/26)
MRK,S&P 500,122.26,122.26,124.56,119.96,Short,True,🔥 Close,40% (6/15)
MSFT,NASDAQ,397.23,397.23,387.51,406.95,Long,True,🔥 Close,40% (4/10)
MNST,NASDAQ,83.76,83.76,84.82,82.7,Short,True,🚀 Active,40% (11/27)
NI,S&P 500,46.37,46.37,47.52,45.22,Short,True,🔥 Close,45% (10/22)
NSC,S&P 500,316.23,316.23,323.14,309.32,Short,True,🔥 Close,57% (4/7)
NRG,S&P 500,179.18,179.18,181.91,176.45,Short,True,🔥 Close,0% (0/1)
OXY,S&P 500,51.84,51.84,52.74,50.94,Short,True,🔥 Close,22% (2/9)
OMC,S&P 500,83.26,83.26,84.8,81.72,Short,True,🔥 Close,88% (8/9)
PANW,NASDAQ,148.7,148.7,145.68,151.72,Long,True,🔥 Close,0% (0/1)
PH,S&P 500,1022.23,1022.23,1034.83,1009.63,Short,True,🚀 Active,37% (9/24)
PAYX,NASDAQ,91.24,91.24,89.42,93.06,Long,True,🔥 Close,26% (4/15)
PCG,S&P 500,18.36,18.36,18.57,18.15,Short,True,🚀 Active,33% (2/6)
PG,S&P 500,160.78,160.78,164.77,156.79,Short,True,🔥 Close,46% (7/15)
PLD,S&P 500,141.51,141.51,143.37,139.65,Short,True,🚀 Active,57% (16/28)
PSA,S&P 500,305.0,305.0,309.1,300.9,Short,True,🚀 Active,60% (9/15)
RL,S&P 500,385.03,385.03,393.04,377.02,Short,True,🔥 Close,57% (4/7)
RTX,S&P 500,204.92,204.92,208.42,201.42,Short,True,🔥 Close,38% (5/13)
O,S&P 500,66.14,66.14,67.41,64.87,Short,True,🔥 Close,68% (11/16)
REG,S&P 500,76.85,76.85,78.16,75.54,Short,True,🔥 Close,41% (7/17)
ROST,NASDAQ,201.45,201.45,205.34,197.56,Short,True,🔥 Close,33% (9/27)
SPG,S&P 500,201.7,201.7,205.03,198.37,Short,True,🔥 Close,54% (6/11)
SJM,S&P 500,110.38,110.38,112.9,107.86,Short,True,🔥 Close,75% (15/20)
SNA,S&P 500,385.88,385.88,394.03,377.73,Short,True,🔥 Close,68% (13/19)
SOLV,S&P 500,72.94,72.94,71.45,74.43,Long,True,🔥 Close,22% (2/9)
SYK,S&P 500,380.23,380.23,385.2,375.26,Short,True,🚀 Active,88% (8/9)
TPR,S&P 500,157.09,157.09,159.86,154.32,Short,True,🔥 Close,42% (6/14)
TRGP,S&P 500,231.35,231.35,235.19,227.51,Short,True,🔥 Close,30% (6/20)
TDY,S&P 500,668.72,668.72,681.94,655.5,Short,True,🔥 Close,25% (2/8)
TER,S&P 500,324.85,324.85,331.13,318.57,Short,True,🔥 Close,62% (5/8)
TXT,S&P 500,100.77,100.77,102.59,98.95,Short,True,🔥 Close,44% (8/18)
TJX,S&P 500,158.23,158.23,160.62,155.84,Short,True,🔥 Close,54% (12/22)
TTD,S&P 500,25.1,25.1,24.59,25.61,Long,True,🔥 Close,33% (2/6)
TRV,S&P 500,304.93,304.93,307.99,301.87,Short,True,🚀 Active,60% (14/23)
UNP,S&P 500,266.1,266.1,269.84,262.36,Short,True,🚀 Active,20% (2/10)
VTR,S&P 500,85.94,85.94,88.11,83.77,Short,True,🔥 Close,29% (5/17)
VICI,S&P 500,30.09,30.09,30.46,29.72,Short,True,🚀 Active,25% (5/20)
WAB,S&P 500,264.78,264.78,268.54,261.02,Short,True,🚀 Active,42% (11/26)
WMB,S&P 500,72.98,72.98,73.77,72.19,Short,True,🚀 Active,12% (1/8)
WDAY,NASDAQ,137.81,137.81,135.27,140.35,Long,True,🔥 Close,60% (3/5)
XEL,NASDAQ,81.55,81.55,83.12,79.98,Short,True,🔥 Close,57% (4/7)
YUM,S&P 500,163.33,163.33,166.21,160.45,Short,True,🔥 Close,50% (7/14)
ZBH,S&P 500,98.75,98.75,100.7,96.8,Short,True,🔥 Close,33% (2/6)
ASML,NASDAQ,1469.59,1469.59,1506.43,1432.75,Short,True,🔥 Close,40% (2/5)
TEAM,NASDAQ,75.98,75.98,74.26,77.7,Long,True,🔥 Close,50% (1/2)
CCEP,NASDAQ,105.7,105.7,107.11,104.29,Short,True,🚀 Active,56% (9/16)
ZS,NASDAQ,159.75,159.75,158.06,161.44,Long,True,🚀 Active,21% (3/14)
ZB=F,Indices,117.41,117.41,119.56,115.25,Short,True,🔥 Close,61% (30/49)
ZN=F,Indices,112.94,112.94,110.17,115.71,Long,True,🔥 Close,100% (10/10)
CL=F,Commodities,66.48,66.48,67.7,65.26,Short,True,🔥 Close,0% (0/2)
ZW=F,Commodities,580.25,580.25,587.82,572.68,Short,True,🚀 Active,50% (2/4)
ZS=F,Commodities,1153.25,1153.25,1174.63,1131.87,Short,True,🔥 Close,42% (6/14)
